Invoice_No,Stock_Code,Description,Quantity,Date,Unit_Price,Customer_ID,Country,DayOfWeek,Month,Year,Quarter,DayOfMonth,Total_Revenue,Outlier
536528,22839,3 TIER CAKE TIN GREEN AND CREAM,1,2010-12-01 13:17:00,14.95,15525.0,United Kingdom,Wednesday,12,2010,4,1,14.95,False
536529,22947,WOODEN ADVENT CALENDAR RED,2,2010-12-01 13:20:00,16.95,14237.0,United Kingdom,Wednesday,12,2010,4,1,33.9,False
536529,21258,VICTORIAN SEWING BOX LARGE,1,2010-12-01 13:20:00,12.75,14237.0,United Kingdom,Wednesday,12,2010,4,1,12.75,False
536530,22423,REGENCY CAKESTAND 3 TIER,1,2010-12-01 13:21:00,12.75,17905.0,United Kingdom,Wednesday,12,2010,4,1,12.75,False
536530,22783,SET 3 WICKER OVAL BASKETS W LIDS,1,2010-12-01 13:21:00,19.95,17905.0,United Kingdom,Wednesday,12,2010,4,1,19.95,False
536533,22797,CHEST OF DRAWERS GINGHAM HEART ,3,2010-12-01 13:31:00,16.95,16955.0,United Kingdom,Wednesday,12,2010,4,1,50.849999999999994,False
536533,21843,RED RETROSPOT CAKE STAND,1,2010-12-01 13:31:00,10.95,16955.0,United Kingdom,Wednesday,12,2010,4,1,10.95,False
536537,22423,REGENCY CAKESTAND 3 TIER,2,2010-12-01 13:51:00,12.75,15922.0,United Kingdom,Wednesday,12,2010,4,1,25.5,False
536539,85067,CREAM SWEETHEART WALL CABINET,1,2010-12-01 14:03:00,18.95,15165.0,United Kingdom,Wednesday,12,2010,4,1,18.95,False
536539,22423,REGENCY CAKESTAND 3 TIER,2,2010-12-01 14:03:00,12.75,15165.0,United Kingdom,Wednesday,12,2010,4,1,25.5,False
536540,C2,CARRIAGE,1,2010-12-01 14:05:00,20.79,14911.0,EIRE,Wednesday,12,2010,4,1,50.0,False
536544,21922,UNION STRIPE WITH FRINGE  HAMMOCK,2,2010-12-01 14:32:00,16.98,Unknown,United Kingdom,Wednesday,12,2010,4,1,33.96,False
536544,22111,SCOTTIE DOG HOT WATER BOTTLE,2,2010-12-01 14:32:00,11.02,Unknown,United Kingdom,Wednesday,12,2010,4,1,22.04,False
536544,22112,CHOCOLATE HOT WATER BOTTLE,2,2010-12-01 14:32:00,11.02,Unknown,United Kingdom,Wednesday,12,2010,4,1,22.04,False
536544,22169,FAMILY ALBUM WHITE PICTURE FRAME,1,2010-12-01 14:32:00,16.98,Unknown,United Kingdom,Wednesday,12,2010,4,1,16.98,False
536544,22423,REGENCY CAKESTAND 3 TIER,40,2010-12-01 14:32:00,12.72,Unknown,United Kingdom,Wednesday,12,2010,4,1,508.8,False
536544,22430,ENAMEL WATERING CAN CREAM,1,2010-12-01 14:32:00,10.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,10.17,False
536544,22471,TV DINNER TRAY AIR HOSTESS ,1,2010-12-01 14:32:00,11.02,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.02,False
536544,22476,EMPIRE UNION JACK TV DINNER TRAY,1,2010-12-01 14:32:00,11.02,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.02,False
536544,22487,WHITE WOOD GARDEN PLANT LADDER,1,2010-12-01 14:32:00,20.38,Unknown,United Kingdom,Wednesday,12,2010,4,1,20.38,False
536544,22580,ADVENT CALENDAR GINGHAM SACK,1,2010-12-01 14:32:00,11.87,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.87,False
536544,22605,WOODEN CROQUET GARDEN SET,1,2010-12-01 14:32:00,20.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,25.49,False
536544,22625,RED KITCHEN SCALES,2,2010-12-01 14:32:00,16.98,Unknown,United Kingdom,Wednesday,12,2010,4,1,33.96,False
536544,22635,CHILDS BREAKFAST SET DOLLY GIRL ,1,2010-12-01 14:32:00,20.38,Unknown,United Kingdom,Wednesday,12,2010,4,1,20.38,False
536544,22654,DELUXE SEWING KIT ,1,2010-12-01 14:32:00,11.87,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.87,False
536544,22760,"TRAY, BREAKFAST IN BED",1,2010-12-01 14:32:00,20.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,25.49,False
536544,22769,CHALKBOARD KITCHEN ORGANISER,1,2010-12-01 14:32:00,20.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,51.02,False
536544,22822,CREAM WALL PLANTER HEART SHAPED,1,2010-12-01 14:32:00,12.72,Unknown,United Kingdom,Wednesday,12,2010,4,1,12.72,False
536544,22844,VINTAGE CREAM DOG FOOD CONTAINER,1,2010-12-01 14:32:00,16.98,Unknown,United Kingdom,Wednesday,12,2010,4,1,16.98,False
536544,22847,BREAD BIN DINER STYLE IVORY,1,2010-12-01 14:32:00,20.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,34.0,False
536544,22928,YELLOW GIANT GARDEN THERMOMETER,1,2010-12-01 14:32:00,11.87,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.87,False
536544,22945,CHRISTMAS METAL TAGS ASSORTED ,1,2010-12-01 14:32:00,11.02,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.02,False
536544,37370,RETRO COFFEE MUGS ASSORTED,1,2010-12-01 14:32:00,16.13,Unknown,United Kingdom,Wednesday,12,2010,4,1,16.13,False
536544,37449,CERAMIC CAKE STAND + HANGING CAKES,1,2010-12-01 14:32:00,20.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,21.23,False
536544,37476,CONDIMENT TRAY 4 BOWLS AND 4 SPOONS,1,2010-12-01 14:32:00,18.68,Unknown,United Kingdom,Wednesday,12,2010,4,1,18.68,False
536544,48188,DOORMAT WELCOME PUPPIES,1,2010-12-01 14:32:00,14.43,Unknown,United Kingdom,Wednesday,12,2010,4,1,14.43,False
536544,79030D,"TUMBLER, BAROQUE",1,2010-12-01 14:32:00,12.72,Unknown,United Kingdom,Wednesday,12,2010,4,1,12.72,False
536544,79030G,"TUMBLER, NEW ENGLAND",1,2010-12-01 14:32:00,12.72,Unknown,United Kingdom,Wednesday,12,2010,4,1,12.72,False
536544,79321,CHILLI LIGHTS,1,2010-12-01 14:32:00,10.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,10.17,False
536544,85014B,RED RETROSPOT UMBRELLA,2,2010-12-01 14:32:00,12.72,Unknown,United Kingdom,Wednesday,12,2010,4,1,25.44,False
536544,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,1,2010-12-01 14:32:00,16.98,Unknown,United Kingdom,Wednesday,12,2010,4,1,16.98,False
536544,85064,CREAM SWEETHEART LETTER RACK,1,2010-12-01 14:32:00,11.02,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.02,False
536544,85127,SMALL SQUARE CUT GLASS CANDLESTICK,2,2010-12-01 14:32:00,10.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,20.34,False
536544,20685,DOORMAT RED RETROSPOT,1,2010-12-01 14:32:00,14.43,Unknown,United Kingdom,Wednesday,12,2010,4,1,14.43,False
536544,20835,FRENCH LATTICE CUSHION COVER ,1,2010-12-01 14:32:00,11.02,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.02,False
536544,20902,VINTAGE KEEPSAKE BOX PARIS DAYS,1,2010-12-01 14:32:00,12.72,Unknown,United Kingdom,Wednesday,12,2010,4,1,12.72,False
536544,21115,ROSE CARAVAN DOORSTOP,1,2010-12-01 14:32:00,14.43,Unknown,United Kingdom,Wednesday,12,2010,4,1,14.43,False
536544,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",1,2010-12-01 14:32:00,11.02,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.02,False
536544,21217,RED RETROSPOT ROUND CAKE TINS,1,2010-12-01 14:32:00,20.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,21.23,False
536544,21258,VICTORIAN SEWING BOX LARGE,1,2010-12-01 14:32:00,20.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,25.49,False
536544,21349,IVY HEART WREATH,1,2010-12-01 14:32:00,13.57,Unknown,United Kingdom,Wednesday,12,2010,4,1,13.57,False
536544,21523,DOORMAT FANCY FONT HOME SWEET HOME,1,2010-12-01 14:32:00,14.43,Unknown,United Kingdom,Wednesday,12,2010,4,1,14.43,False
536544,21662,VINTAGE GLASS COFFEE CADDY,2,2010-12-01 14:32:00,11.87,Unknown,United Kingdom,Wednesday,12,2010,4,1,23.74,False
536544,21706,FOLDING UMBRELLA RED/WHITE POLKADOT,2,2010-12-01 14:32:00,10.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,20.34,False
536544,21742,LARGE ROUND WICKER PLATTER ,1,2010-12-01 14:32:00,12.72,Unknown,United Kingdom,Wednesday,12,2010,4,1,12.72,False
536544,21758,VINTAGE SHELLS PRINT,1,2010-12-01 14:32:00,12.72,Unknown,United Kingdom,Wednesday,12,2010,4,1,12.72,False
536556,21843,RED RETROSPOT CAKE STAND,1,2010-12-01 14:38:00,10.95,17643.0,United Kingdom,Wednesday,12,2010,4,1,10.95,False
536557,21258,VICTORIAN SEWING BOX LARGE,1,2010-12-01 14:41:00,12.75,17841.0,United Kingdom,Wednesday,12,2010,4,1,12.75,False
536557,84352,SILVER CHRISTMAS TREE BAUBLE STAND ,1,2010-12-01 14:41:00,16.95,17841.0,United Kingdom,Wednesday,12,2010,4,1,16.95,False
536558,22802,FAUX FUR CHOCOLATE THROW,5,2010-12-01 14:48:00,19.95,Unknown,United Kingdom,Wednesday,12,2010,4,1,99.75,False
536560,22847,BREAD BIN DINER STYLE IVORY,4,2010-12-01 15:00:00,14.95,13093.0,United Kingdom,Wednesday,12,2010,4,1,59.8,False
536560,22846,BREAD BIN DINER STYLE RED ,4,2010-12-01 15:00:00,14.95,13093.0,United Kingdom,Wednesday,12,2010,4,1,59.8,False
536562,22423,REGENCY CAKESTAND 3 TIER,2,2010-12-01 15:08:00,12.75,13468.0,United Kingdom,Wednesday,12,2010,4,1,25.5,False
536569,22765,NEWSPAPER STAND,1,2010-12-01 15:35:00,14.95,16274.0,United Kingdom,Wednesday,12,2010,4,1,14.95,False
536569,22946,WOODEN ADVENT CALENDAR CREAM,1,2010-12-01 15:35:00,16.95,16274.0,United Kingdom,Wednesday,12,2010,4,1,16.95,False
536569,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1,2010-12-01 15:35:00,12.75,16274.0,United Kingdom,Wednesday,12,2010,4,1,12.75,False
536569,M,Manual,1,2010-12-01 15:35:00,18.95,16274.0,United Kingdom,Wednesday,12,2010,4,1,18.95,False
536569,21761,WOOD AND GLASS MEDICINE CABINET,1,2010-12-01 15:35:00,20.79,16274.0,United Kingdom,Wednesday,12,2010,4,1,29.95,False
536570,21781,MA CAMPAGNE CUTLERY BOX,2,2010-12-01 15:35:00,14.95,14496.0,United Kingdom,Wednesday,12,2010,4,1,29.9,False
536586,22846,BREAD BIN DINER STYLE RED ,8,2010-12-01 16:25:00,14.95,18229.0,United Kingdom,Wednesday,12,2010,4,1,119.6,False
536586,22848,BREAD BIN DINER STYLE PINK,8,2010-12-01 16:25:00,14.95,18229.0,United Kingdom,Wednesday,12,2010,4,1,119.6,False
536590,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1,2010-12-01 16:52:00,12.75,13065.0,United Kingdom,Wednesday,12,2010,4,1,12.75,False
536592,20700,GREEN CAT FLORAL CUSHION COVER ,1,2010-12-01 17:06:00,10.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,10.17,False
536592,20780,BLACK EAR MUFF HEADPHONES,1,2010-12-01 17:06:00,11.02,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.02,False
536592,21055,TOOL BOX SOFT TOY ,2,2010-12-01 17:06:00,16.98,Unknown,United Kingdom,Wednesday,12,2010,4,1,33.96,False
536592,21109,"LARGE CAKE TOWEL, CHOCOLATE SPOTS",1,2010-12-01 17:06:00,13.57,Unknown,United Kingdom,Wednesday,12,2010,4,1,13.57,False
536592,21110,LARGE CAKE TOWEL PINK SPOTS,2,2010-12-01 17:06:00,13.57,Unknown,United Kingdom,Wednesday,12,2010,4,1,27.14,False
536592,21128,GOLD FISHING GNOME,1,2010-12-01 17:06:00,12.72,Unknown,United Kingdom,Wednesday,12,2010,4,1,12.72,False
536592,21257,VICTORIAN SEWING BOX MEDIUM,2,2010-12-01 17:06:00,16.13,Unknown,United Kingdom,Wednesday,12,2010,4,1,32.26,False
536592,21258,VICTORIAN SEWING BOX LARGE,3,2010-12-01 17:06:00,20.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,76.47,False
536592,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1,2010-12-01 17:06:00,20.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,25.49,False
536592,21349,IVY HEART WREATH,3,2010-12-01 17:06:00,13.57,Unknown,United Kingdom,Wednesday,12,2010,4,1,40.71,False
536592,21524,DOORMAT SPOTTY HOME SWEET HOME,1,2010-12-01 17:06:00,14.43,Unknown,United Kingdom,Wednesday,12,2010,4,1,14.43,False
536592,21754,HOME BUILDING BLOCK WORD,1,2010-12-01 17:06:00,11.87,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.87,False
536592,21755,LOVE BUILDING BLOCK WORD,1,2010-12-01 17:06:00,11.87,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.87,False
536592,21756,BATH BUILDING BLOCK WORD,1,2010-12-01 17:06:00,11.87,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.87,False
536592,21813,GARLAND WITH STARS AND BELLS,1,2010-12-01 17:06:00,10.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,10.17,False
536592,21906,PHARMACIE FIRST AID TIN,1,2010-12-01 17:06:00,13.57,Unknown,United Kingdom,Wednesday,12,2010,4,1,13.57,False
536592,22111,SCOTTIE DOG HOT WATER BOTTLE,3,2010-12-01 17:06:00,11.02,Unknown,United Kingdom,Wednesday,12,2010,4,1,33.06,False
536592,22112,CHOCOLATE HOT WATER BOTTLE,3,2010-12-01 17:06:00,11.02,Unknown,United Kingdom,Wednesday,12,2010,4,1,33.06,False
536592,22121,NOEL WOODEN BLOCK LETTERS ,1,2010-12-01 17:06:00,11.87,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.87,False
536592,22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",1,2010-12-01 17:06:00,11.02,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.02,False
536592,22169,FAMILY ALBUM WHITE PICTURE FRAME,1,2010-12-01 17:06:00,16.98,Unknown,United Kingdom,Wednesday,12,2010,4,1,16.98,False
536592,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,1,2010-12-01 17:06:00,11.02,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.02,False
536592,22283,6 EGG HOUSE PAINTED WOOD,1,2010-12-01 17:06:00,16.13,Unknown,United Kingdom,Wednesday,12,2010,4,1,16.13,False
536592,22325,MOBILE VINTAGE HEARTS ,1,2010-12-01 17:06:00,11.87,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.87,False
536592,22423,REGENCY CAKESTAND 3 TIER,47,2010-12-01 17:06:00,12.72,Unknown,United Kingdom,Wednesday,12,2010,4,1,597.84,False
536592,22425,ENAMEL COLANDER CREAM,1,2010-12-01 17:06:00,10.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,10.17,False
536592,22427,ENAMEL FLOWER JUG CREAM,1,2010-12-01 17:06:00,11.87,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.87,False
536592,22428,ENAMEL FIRE BUCKET CREAM,1,2010-12-01 17:06:00,14.43,Unknown,United Kingdom,Wednesday,12,2010,4,1,14.43,False
536592,22472,TV DINNER TRAY DOLLY GIRL,3,2010-12-01 17:06:00,11.02,Unknown,United Kingdom,Wednesday,12,2010,4,1,33.06,False
536592,22487,WHITE WOOD GARDEN PLANT LADDER,1,2010-12-01 17:06:00,20.38,Unknown,United Kingdom,Wednesday,12,2010,4,1,20.38,False
536592,22499,WOODEN UNION JACK BUNTING,1,2010-12-01 17:06:00,12.72,Unknown,United Kingdom,Wednesday,12,2010,4,1,12.72,False
536592,22501,PICNIC BASKET WICKER LARGE,2,2010-12-01 17:06:00,20.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,42.46,False
536592,22503,CABIN BAG VINTAGE PAISLEY,1,2010-12-01 17:06:00,20.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,59.53,False
536592,22580,ADVENT CALENDAR GINGHAM SACK,1,2010-12-01 17:06:00,11.87,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.87,False
536592,22622,BOX OF VINTAGE ALPHABET BLOCKS,1,2010-12-01 17:06:00,20.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,21.23,False
536592,22624,IVORY KITCHEN SCALES,1,2010-12-01 17:06:00,16.98,Unknown,United Kingdom,Wednesday,12,2010,4,1,16.98,False
536592,22625,RED KITCHEN SCALES,1,2010-12-01 17:06:00,16.98,Unknown,United Kingdom,Wednesday,12,2010,4,1,16.98,False
536592,22649,STRAWBERRY FAIRY CAKE TEAPOT,2,2010-12-01 17:06:00,11.02,Unknown,United Kingdom,Wednesday,12,2010,4,1,22.04,False
536592,22781,GUMBALL MAGAZINE RACK,1,2010-12-01 17:06:00,15.28,Unknown,United Kingdom,Wednesday,12,2010,4,1,15.28,False
536592,22788,BROCANTE COAT RACK,1,2010-12-01 17:06:00,20.38,Unknown,United Kingdom,Wednesday,12,2010,4,1,20.38,False
536592,22794,SWEETHEART WIRE MAGAZINE RACK,1,2010-12-01 17:06:00,16.13,Unknown,United Kingdom,Wednesday,12,2010,4,1,16.13,False
536592,22795,SWEETHEART RECIPE BOOK STAND,3,2010-12-01 17:06:00,13.57,Unknown,United Kingdom,Wednesday,12,2010,4,1,40.71,False
536592,22841,ROUND CAKE TIN VINTAGE GREEN,1,2010-12-01 17:06:00,16.13,Unknown,United Kingdom,Wednesday,12,2010,4,1,16.13,False
536592,22844,VINTAGE CREAM DOG FOOD CONTAINER,1,2010-12-01 17:06:00,16.98,Unknown,United Kingdom,Wednesday,12,2010,4,1,16.98,False
536592,22854,CREAM SWEETHEART EGG HOLDER,1,2010-12-01 17:06:00,11.02,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.02,False
536592,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,1,2010-12-01 17:06:00,20.38,Unknown,United Kingdom,Wednesday,12,2010,4,1,20.38,False
536592,22941,CHRISTMAS LIGHTS 10 REINDEER,4,2010-12-01 17:06:00,16.98,Unknown,United Kingdom,Wednesday,12,2010,4,1,67.92,False
536592,22944,CHRISTMAS METAL POSTCARD WITH BELLS,1,2010-12-01 17:06:00,16.13,Unknown,United Kingdom,Wednesday,12,2010,4,1,16.13,False
536592,22945,CHRISTMAS METAL TAGS ASSORTED ,2,2010-12-01 17:06:00,11.02,Unknown,United Kingdom,Wednesday,12,2010,4,1,22.04,False
536592,22946,WOODEN ADVENT CALENDAR CREAM,1,2010-12-01 17:06:00,20.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,34.0,False
536592,22947,WOODEN ADVENT CALENDAR RED,1,2010-12-01 17:06:00,20.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,34.0,False
536592,22968,ROSE COTTAGE KEEPSAKE BOX ,3,2010-12-01 17:06:00,20.38,Unknown,United Kingdom,Wednesday,12,2010,4,1,61.14,False
536592,35637A,IVORY STRING CURTAIN WITH POLE ,1,2010-12-01 17:06:00,19.53,Unknown,United Kingdom,Wednesday,12,2010,4,1,19.53,False
536592,37370,RETRO COFFEE MUGS ASSORTED,1,2010-12-01 17:06:00,16.13,Unknown,United Kingdom,Wednesday,12,2010,4,1,16.13,False
536592,46775D,SUNSET COLOUR CHUNKY KNITTED THROW,1,2010-12-01 17:06:00,11.02,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.02,False
536592,47567B,TEA TIME KITCHEN APRON,1,2010-12-01 17:06:00,12.72,Unknown,United Kingdom,Wednesday,12,2010,4,1,12.72,False
536592,47590A,BLUE HAPPY BIRTHDAY BUNTING,1,2010-12-01 17:06:00,11.02,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.02,False
536592,47590B,PINK HAPPY BIRTHDAY BUNTING,1,2010-12-01 17:06:00,11.02,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.02,False
536592,48111,DOORMAT 3 SMILEY CATS,1,2010-12-01 17:06:00,14.43,Unknown,United Kingdom,Wednesday,12,2010,4,1,14.43,False
536592,48138,DOORMAT UNION FLAG,1,2010-12-01 17:06:00,14.43,Unknown,United Kingdom,Wednesday,12,2010,4,1,14.43,False
536592,48187,DOORMAT NEW ENGLAND,1,2010-12-01 17:06:00,14.43,Unknown,United Kingdom,Wednesday,12,2010,4,1,14.43,False
536592,48194,DOORMAT HEARTS,1,2010-12-01 17:06:00,14.43,Unknown,United Kingdom,Wednesday,12,2010,4,1,14.43,False
536592,79321,CHILLI LIGHTS,2,2010-12-01 17:06:00,10.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,20.34,False
536592,84609,TALL ROCOCO CANDLE HOLDER,1,2010-12-01 17:06:00,16.98,Unknown,United Kingdom,Wednesday,12,2010,4,1,16.98,False
536592,84856L,LARGE TAHITI BEACH BAG,1,2010-12-01 17:06:00,11.87,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.87,False
536592,85008,SET OF 3 CONEY ISLAND OVAL BOXES,1,2010-12-01 17:06:00,10.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,10.17,False
536592,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,1,2010-12-01 17:06:00,16.98,Unknown,United Kingdom,Wednesday,12,2010,4,1,16.98,False
536592,85064,CREAM SWEETHEART LETTER RACK,1,2010-12-01 17:06:00,11.02,Unknown,United Kingdom,Wednesday,12,2010,4,1,11.02,False
536592,85232D,SET/3 DECOUPAGE STACKING TINS,1,2010-12-01 17:06:00,10.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,10.17,False
536592,90124B,BLUE MURANO TWIST NECKLACE,1,2010-12-01 17:06:00,10.79,Unknown,United Kingdom,Wednesday,12,2010,4,1,10.17,False
536592,22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",3,2010-12-01 17:06:00,12.75,Unknown,United Kingdom,Wednesday,12,2010,4,1,38.25,False
536596,22802,FAUX FUR CHOCOLATE THROW,1,2010-12-01 17:29:00,19.95,Unknown,United Kingdom,Wednesday,12,2010,4,1,19.95,False
536600,22803,IVORY EMBROIDERED QUILT ,2,2010-12-02 08:32:00,20.79,17850.0,United Kingdom,Thursday,12,2010,4,2,71.5,False
536607,22423,REGENCY CAKESTAND 3 TIER,1,2010-12-02 09:29:00,12.75,17732.0,United Kingdom,Thursday,12,2010,4,2,12.75,False
536624,21843,RED RETROSPOT CAKE STAND,4,2010-12-02 10:45:00,10.95,13418.0,United Kingdom,Thursday,12,2010,4,2,43.8,False
C536625,22839,3 TIER CAKE TIN GREEN AND CREAM,-2,2010-12-02 10:46:00,14.95,14766.0,United Kingdom,Thursday,12,2010,4,2,-29.9,False
536627,22783,SET 3 WICKER OVAL BASKETS W LIDS,1,2010-12-02 10:53:00,19.95,15658.0,United Kingdom,Thursday,12,2010,4,2,19.95,False
536627,22423,REGENCY CAKESTAND 3 TIER,4,2010-12-02 10:53:00,12.75,15658.0,United Kingdom,Thursday,12,2010,4,2,51.0,False
536632,21843,RED RETROSPOT CAKE STAND,1,2010-12-02 11:02:00,10.95,14388.0,United Kingdom,Thursday,12,2010,4,2,10.95,False
536633,22832,BROCANTE SHELF WITH HOOKS,4,2010-12-02 11:20:00,10.79,14901.0,United Kingdom,Thursday,12,2010,4,2,43.0,False
536640,22761,CHEST 7 DRAWER MA CAMPAGNE,1,2010-12-02 11:45:00,20.79,Unknown,United Kingdom,Thursday,12,2010,4,2,24.95,False
536667,22423,REGENCY CAKESTAND 3 TIER,4,2010-12-02 12:09:00,12.75,15260.0,United Kingdom,Thursday,12,2010,4,2,51.0,False
